"order_id";"productcategory_id";"material_id";"outer_diameter";"inner_diameter";"height";"weight";"heattreatmentcategory_id";"mes_datetime";"workplace_id";"power_cons"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:25:00";"50513";"58"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:26:00";"50513";"58"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:27:00";"50513";"58"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:28:00";"50513";"58"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:29:00";"50513";"58"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:30:00";"50513";"58"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:31:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:32:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:33:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:34:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:35:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:36:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:37:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:38:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:39:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:40:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:41:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:42:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:43:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:44:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:45:00";"50513";"84"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:46:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:47:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:48:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:49:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:50:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:51:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:52:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:53:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:54:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:55:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:56:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:57:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:58:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 13:59:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:00:00";"50513";"89"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:01:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:02:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:03:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:04:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:05:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:06:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:07:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:08:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:09:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:10:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:11:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:12:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:13:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:14:00";"50513";"95"
"10-2975-5";"S6";"1.4021";"399";"300";"30";"51,1980186835613";"1";"2012-04-16 14:15:00";"50513";"95"
